"l1","l2","a12","a21","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
16,19,0.7,0.1,4.28375240762396,4.21428571428571,16.1542791094581,16.2649122807018,1.05151557049992,1.40255636428917,15.2365,12.5,15.2365,12.5,NaN,NA,1,0
17,19,0.7,0.1,4.69427662717704,4.61132966168371,16.3268489484294,16.4666666666667,1.16708803599734,1.32044794752922,18.6515,15,18.6515,15,NaN,NA,1,0
18,19,0.7,0.1,5.12318560137658,5.10344827586207,16.496750979542,16.5625,1.17806652205367,1.16180067680383,24.5105,19,24.5105,19,NaN,NA,1,0
19,19,0.7,0.1,5.77664106296513,5.80217391304348,16.6512831319299,16.7272727272727,1.25027682722225,0.992476073568877,34.5705,26,34.5705,26,NaN,NA,1,0
10,20,0.7,0.1,2.95838783353440,2.83333333333333,15.4421531615319,15.5714285714286,0.716500186927665,1.96206973289488,6.0805,6,6.0805,6,NaN,NA,1,0
11,20,0.7,0.1,3.15335196392688,3,15.7391294731046,15.8333333333333,0.766084925174828,1.87004694764793,6.7215,6,6.7215,6,NaN,NA,1,0
12,20,0.7,0.1,3.2609447487065,3.18181818181818,16.0119266286856,16.0954545454545,0.812194302868702,1.78486576449189,7.6285,7,7.6285,7,NaN,NA,1,0
13,20,0.7,0.1,3.45444603596018,3.36363636363636,16.2643070211541,16.375,0.890204859931096,1.72862107267287,8.5775,8,8.5775,8,NaN,NA,1,0
14,20,0.7,0.1,3.64123503862628,3.54545454545455,16.4809853596666,16.625,0.92753724545229,1.60871510962591,10.0145,8,10.0145,8,NaN,NA,1,0
15,20,0.7,0.1,3.91141984212239,3.83333333333333,16.7329699267872,16.8571428571429,0.9692503125338,1.56696581984856,11.632,10,11.632,10,NaN,NA,1,0
16,20,0.7,0.1,4.19848584211031,4.11764705882353,17.0060304136671,17.125,1.02739719145645,1.44096797593345,13.998,12,13.998,12,NaN,NA,1,0
17,20,0.7,0.1,4.49844797081862,4.44444444444444,17.0949550577245,17.25,1.10504999605119,1.37887468709689,16.955,14,16.955,14,NaN,NA,1,0
18,20,0.7,0.1,4.94861105379221,4.91485507246377,17.3479294119275,17.4444444444444,1.16952067814397,1.25432350132563,21.268,17,21.268,17,NaN,NA,1,0
19,20,0.7,0.1,5.37369705756511,5.37037037037037,17.5146555173467,17.6216216216216,1.18862232406539,1.15221017070868,27.015,21,27.015,21,NaN,NA,1,0
20,20,0.7,0.1,5.94824476206432,6.00641025641026,17.627689841081,17.7567567567568,1.25199915056370,1.04487024171223,37.8695,28,37.8695,28,NaN,NA,1,0
10,10,0.8,0.1,3.29085747040034,3.22902097902098,8.08807653660076,8.08712121212121,0.860007117529688,1.06152689418919,11.699,9,11.7049673858505,9,9.875,9.5,0.9965,0.004
10,11,0.8,0.1,3.15985187449498,3.045,8.81694175308706,8.85714285714286,0.825389887656019,1.20775279305708,9.915,8,9.9048572859289,8,14.25,12.5,0.9985,0.002
11,11,0.8,0.1,3.49343526800698,3.44097222222222,8.9396746887848,9,0.905027950512683,1.05094076028973,12.492,10,12.4897448724362,10,17,17,0.9995,5e-04
10,12,0.8,0.1,3.06532977705497,3,9.57101367688813,9.6,0.761930477610009,1.29837456260437,8.6895,7,8.69134567283642,7,9.5,9.5,0.9995,0.001
