"ID","l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rank","CoexistRank","Asy","cor","Rare"
248851,18,16,1.50,0.90,0.30,1.00,2.84,14.14,1.12,1.10,0.88,4.09,2,1,-2.98,16.89,0.16
248852,19,16,1.50,0.90,0.30,1.00,3.65,13.90,1.18,1.10,0.84,4.13,2,1,-3.02,15.52,0.20
248853,20,16,1.50,0.90,0.30,1.00,4.47,13.65,1.25,1.10,0.80,4.16,2,1,-3.06,14.04,0.24
248859,15,17,1.50,0.90,0.30,1.00,0.00,16.00,0.88,1.10,1.13,3.94,2,0,-2.84,22.72,0.00
248860,16,17,1.50,0.90,0.30,1.00,0.48,15.85,0.94,1.10,1.06,4.00,2,0,-2.89,22.28,0.02
248861,17,17,1.50,0.90,0.30,1.00,1.30,15.60,1.00,1.10,1.00,4.04,2,1,-2.94,21.02,0.07
248862,18,17,1.50,0.90,0.30,1.00,2.11,15.36,1.05,1.10,0.94,4.09,2,1,-2.98,19.80,0.12
248863,19,17,1.50,0.90,0.30,1.00,2.92,15.12,1.11,1.10,0.89,4.13,2,1,-3.02,18.48,0.16
248864,20,17,1.50,0.90,0.30,1.00,3.73,14.87,1.17,1.10,0.85,4.16,2,1,-3.06,17.04,0.20
248870,15,18,1.50,0.90,0.30,1.00,0.00,17.00,0.83,1.10,1.20,3.94,2,0,-2.84,24.14,0.00
248871,16,18,1.50,0.90,0.30,1.00,0.00,17.00,0.88,1.10,1.12,4.00,2,0,-2.89,24.65,0.00
248872,17,18,1.50,0.90,0.30,1.00,0.56,16.82,0.94,1.10,1.05,4.04,2,0,-2.94,23.90,0.03
248873,18,18,1.50,0.90,0.30,1.00,1.38,16.58,1.00,1.10,1.00,4.09,2,1,-2.98,22.72,0.07
248874,19,18,1.50,0.90,0.30,1.00,2.19,16.34,1.05,1.10,0.94,4.13,2,1,-3.02,21.43,0.11
248875,20,18,1.50,0.90,0.30,1.00,3.00,16.09,1.11,1.10,0.90,4.16,2,1,-3.06,20.02,0.15
248881,15,19,1.50,0.90,0.30,1.00,0.00,18.00,0.78,1.10,1.26,3.94,2,0,-2.84,25.56,0.00
248882,16,19,1.50,0.90,0.30,1.00,0.00,18.00,0.84,1.10,1.18,4.00,2,0,-2.89,26.10,0.00
248883,17,19,1.50,0.90,0.30,1.00,0.00,18.00,0.89,1.10,1.11,4.04,2,0,-2.94,26.46,0.00
