"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
20,17,2.5,0.3,0.9,0.9,6.21,11.56,1.17,2.68,0.85,2.55,0.34,0.13,-0.34,5.82655503320701,5.89334440515733,11.2237871379871,11.3654221231541,0.639206777535065,1.22218342385285,156.992,109.5,159.031700288184,110,143.637735849057,104,0.8675,0.1325
11,18,2.5,0.3,0.9,0.9,1.96,16.91,0.61,2.7,1.63,2.39,0.1,0.3,-2.31,2.7087903271465,2.65,13.053942164438,13.4285714285714,0.583103952210384,2.37205305593065,9.896,8,9.896,8,NaN,NA,1,0
12,18,2.5,0.3,0.9,0.9,2.42,16.46,0.66,2.7,1.5,2.41,0.12,0.28,-2.03,2.90622412306482,2.875,13.0319577168533,13.4142156862745,0.618336539870946,2.34212267315593,11.4995,9,11.5037518759380,9,3,3,0.9995,5e-04
13,18,2.5,0.3,0.9,0.9,2.87,16.01,0.72,2.7,1.38,2.44,0.15,0.25,-1.7,3.10531856592671,3.09761904761905,13.3337479539382,13.6666666666667,0.637216783472037,2.15731774740773,14.901,12,14.9074537268634,12,2,2,0.9995,5e-04
14,18,2.5,0.3,0.9,0.9,3.33,15.55,0.77,2.7,1.28,2.46,0.17,0.23,-1.46,3.33057933851947,3.33333333333333,13.4146419875551,13.7571662571663,0.67783784641384,2.09691384984513,18.397,14,18.4047023511756,14,3,3,0.9995,5e-04
15,18,2.5,0.3,0.9,0.9,3.78,15.1,0.83,2.7,1.2,2.48,0.2,0.21,-1.24,3.61373765552013,3.64516129032258,13.5138079302528,13.7900856793146,0.67933898940103,1.78528346537677,25.9695,19,25.9829659318637,19,19.25,17,0.998,0.002
16,18,2.5,0.3,0.9,0.9,4.24,14.64,0.88,2.7,1.12,2.5,0.22,0.2,-1.04,3.98559683957701,4,13.4234622682664,13.6984848484848,0.71824110085254,1.71005375993861,34.8415,25,34.8474661314601,25,33.1428571428571,35,0.9965,0.0035
17,18,2.5,0.3,0.9,0.9,4.69,14.19,0.94,2.7,1.05,2.51,0.24,0.18,-0.9,4.33516340431733,4.41537849511253,13.4155890461640,13.6424469413233,0.678445268232292,1.53326820564610,49.1785,35,49.2285283776996,35,38.1111111111111,44,0.9955,0.0045
18,18,2.5,0.3,0.9,0.9,5.15,13.73,1,2.7,1,2.52,0.27,0.17,-0.77,4.70904151358777,4.8121905940594,13.1603752186197,13.3421756262314,0.69795310561351,1.44446047954732,67.129,46,67.1552419354839,46,63.875,57,0.992,0.008
19,18,2.5,0.3,0.9,0.9,5.6,13.28,1.05,2.7,0.94,2.54,0.29,0.15,-0.61,5.16314897138589,5.27426491578647,12.8684720543973,13.0205656886069,0.698180185032175,1.34885903852158,96.557,66.5,97.2897291773122,68,63.2093023255814,36,0.9785,0.0215
20,18,2.5,0.3,0.9,0.9,6.06,12.82,1.11,2.7,0.9,2.55,0.32,0.14,-0.5,5.61731668748948,5.72247474747475,12.5450952987115,12.6472288337300,0.690186018071701,1.10275451274787,143.275,100,142.177368421053,99,164.13,127.5,0.95,0.05
11,19,2.5,0.3,0.9,0.9,1.81,18.18,0.57,2.71,1.72,2.39,0.09,0.32,-2.61,2.69111660602328,2.63636363636364,13.7889094343011,14.2,0.574693844106822,2.53868742246594,9.373,8,9.37668834417209,8,2,2,0.9995,5e-04
12,19,2.5,0.3,0.9,0.9,2.27,17.72,0.63,2.71,1.58,2.41,0.11,0.29,-2.31,2.89483291063475,2.83333333333333,13.9953766681563,14.4,0.616812044603694,2.40827105610764,11.515,9,11.515,9,NaN,NA,1,0
13,19,2.5,0.3,0.9,0.9,2.72,17.27,0.68,2.71,1.46,2.44,0.13,0.27,-1.96,3.07045829618481,3.0267094017094,14.1827482345814,14.5714285714286,0.643061723359494,2.30619525405734,13.5265,11,13.5265,11,NaN,NA,1,0
14,19,2.5,0.3,0.9,0.9,3.18,16.81,0.73,2.71,1.35,2.46,0.15,0.24,-1.7,3.26367930314527,3.25,14.3981842080303,14.7777777777778,0.672976563395934,2.18323342365998,17.427,14,17.4347173586793,14,2,2,0.9995,5e-04
15,19,2.5,0.3,0.9,0.9,3.63,16.36,0.78,2.71,1.26,2.48,0.18,0.23,-1.46,3.56205328117211,3.6,14.5032595075427,14.8571428571429,0.685880687882763,1.98644273561142,23.3845,18,23.4151226840260,18,3,3,0.9985,0.0015
16,19,2.5,0.3,0.9,0.9,4.09,15.9,0.84,2.71,1.18,2.5,0.2,0.21,-1.24,3.82751684511245,3.86459323645253,14.4843962172282,14.7286363636364,0.699030519433754,1.84866976003898,30.443,22,30.4934869739479,22,5.25,4.5,0.998,0.002
17,19,2.5,0.3,0.9,0.9,4.54,15.45,0.89,2.71,1.11,2.51,0.22,0.19,-1.09,4.17233987801632,4.2433607520564,14.4483455228417,14.7346035759437,0.713068648471169,1.72607485956903,41.593,30,41.4784353059178,30,79.6666666666667,58,0.997,0.003
18,19,2.5,0.3,0.9,0.9,5,15,0.94,2.71,1.05,2.52,0.25,0.18,-0.95,4.58235820131983,4.65250447227191,14.2824789410077,14.5113695090439,0.697811896938154,1.58246712137565,57.8825,41,58.0135406218656,41,14.3333333333333,6.5,0.997,0.003
19,19,2.5,0.3,0.9,0.9,5.45,14.54,1,2.71,1,2.54,0.27,0.17,-0.77,4.99721987544554,5.09756097560976,14.1510866550460,14.2853302611367,0.664975205270752,1.30633871003663,81.8425,59,81.6453400503778,59,107.933333333333,84,0.9925,0.0075
20,19,2.5,0.3,0.9,0.9,5.9,14.09,1.05,2.71,0.95,2.55,0.29,0.16,-0.65,5.44437783732259,5.5623150887574,13.7592069605803,13.8862567204301,0.664140912378976,1.25384454474446,121.192,82,120.785022924096,81,142.783783783784,99,0.9815,0.0185
